regional_number,daritel,act_id,date,suma,predmet,nadaren
21,"""БКК-95"" ООД",11132,05.5.2011,50000,Парични средства,ОДМВР
22,"""Монбат"" АД",11133,05.5.2011,1000.00,Парични средства,ОДМВР
23,"""Кремпласт"" ООД",11134,05.5.2011,20000,Парични средства,ОДМВР
24,ОБЩИНА ГЕОРГИ ДАМЯНОВО,11445,10.5.2011,12450,Гориво,РУП Монтана
25,ОБЩИНА ГЕОРГИ ДАМЯНОВО,11449,10.5.2011,15000,Гориво,РУП Монтана
26,"ФК ""Монтана-1921""",11612,11.5.2011,40000,Канцеларски материали,РУП Монтана
27,"""Агромонт"" ЕООД",13079,31.5.2011,50000,Канцеларски материали,РУП Монтана
28,ОБЩИНА ГЕОРГИ ДАМЯНОВО,13730,06.6.2011,15000,Гориво,РУП Монтана
29,Кметство с.Габровница,13923,08.6.2011,11500,Гориво,РУП Монтана
30,Кметство с.Белотинци,13924,08.6.2011,20000,Гориво,РУП Монтана
31,"ЕТ ""Хр.Тачев""",13922,08.6.2011,3299.20,Компютърна техника,РУП Вършец
32,"""Студио Джи"" ООД",14206,13.6.2011,20000,Канцеларски материали,РУП Берковица
33,ОБЩИНА ГЕОРГИ ДАМЯНОВО,14638,16.6.2011,15011,Гориво,РУП Монтана
1,"""Дикома"" ЕООД",Д-55,02.3.2007,1420.90,Гориво,РУП-Пазарджик
2,"""Вълеви"" ЕООД",Д-78,28.3.2008,28700,Гориво,РУП-Пазарджик
3,"""Булфест"" ООД",Д-79,28.3.2008,42960,Гориво,РУП-Пазарджик
4,"ЕТ ""Александър Клисурски""",Д-80,28.3.2008,28540,Гориво,РУП-Пазарджик
5,"""Дикома"" ЕООД",Д-61,07.4.2008,80680,Гориво,"ОДМВР-Пазарджик-Сектор ""ПП"""
6,"""Биовет"" АД",Анекс № 26525,26.6.2008,2158.86,Гориво,"ОДМВР-Пазарджик-Сектор ""ПИП"""
7,"ЕТ ""Марин Рачев-менсъл""",Д-60,01.4.2009,63775,Гориво,"ОДМВР-Пазарджик-Сектор ""ПП"""
8,ОБЩИНА РАКИТОВО,Д-55,01.4.2009,71550,Гориво,РУП-Велинград
9,ДЛС РАКИТОВО,Д-57,03.4.2009,28620,Гориво,РУП-Велинград
10,"""ЛМ"" ЕООД",Д-75,01.6.2009,1162.00,Гориво,"ОДМВР-Пазарджик-Сектор ""ПП"""
11,"""Еко хидро 90"" ООД",Д-103,16.9.2009,75000,Гориво,РУП-Пазарджик
12,"""Заводси строежи ПС"" АД",Д-111,28.9.2009,1425.53,Гориво,РУП-Пазарджик
13,Х.Д.П.,Д-119,23.10.2009,57240,Гориво,РУП-Велинград
14,"""Калипсо"" ЕООД",Д-122,10.11.2009,31003,Гориво,РУП-Пазарджик
15,"""Пимо СВ"" ООД",Д-128,07.12.2009,56890,Гориво,РУП-Пазарджик
16,"""Вагоноремонтен завод 99"" АД",Д-30,04.2.2010,1436.00,Гориво,РУП-Септември
17,"""ВКВТ"" ЕООД",Д-76,03.6.2010,35820,Гориво,РУП-Велинград
18,"ЕТ ""Бялата вода""",Д-78,03.6.2010,31080,Гориво,РУП-Велинград
19,"ЕТ ""Мираж-Мария Баева""",Д-81,12.7.2010,28620,Гориво,РУП-Велинград
20,"""Орфей клуб уелнес"" АД",Д-84,13.7.2010,57240,Гориво,РУП-Велинград
21,"""Тед ойл - 77"" ЕООД",Д-86,20.7.2010,42930,Гориво,РУП-Велинград
22,ОБЩИНА ПАНАГЮРИЩЕ,Д-87,21.7.2010,1437.00,Гориво,РУП-Панагюрище
23,"""Булгарцвет-Велинград"" ООД",Д-88,21.7.2010,57240,Гориво,РУП-Велинград
24,"""Сигма-ойл"" ЕООД",Д-89,26.7.2010,42930,Гориво,РУП-Велинград
25,"""Орика мед България"" АД",Д-91,01.9.2010,4311.00,Гориво,РУП-Панагюрище
26,"""Тед ойл - 77"" ЕООД",Д-95,02.9.2010,42930,Гориво,РУП-Велинград
27,"""Етон"" АД",Д-96,03.9.2010,57240,Гориво,РУП-Велинград
28,"""Тед ойл - 77"" ЕООД",Д-97,17.9.2010,28620,Гориво,РУП-Велинград
29,"""Вели авто"" ООД",Д-98,11.10.2010,71550,Гориво,РУП-Велинград
30,"""Сигма-ойл"" ЕООД",Д-100,12.10.2010,85860,Гориво,РУП-Велинград
31,"""Лагуна-травел"" ООД",Д-101,12.10.2010,42930,Гориво,РУП-Велинград
32,"""Оптикс"" АД",Д-102,18.10.2010,2386.00,Гориво,РУП-Панагюрище
