68,"""Андезит"" ООД",10407,01.4.2011,"1 199,90",бензин,РУ Карнобат
69,"""Агротехники и Ко"" ООД",10408,01.4.2011,"58,700",бензин,РУ Карнобат
70,"""ВиК"" ЕАД -Бургас",10844,05.4.2011,"72,093",бензин,ІV -РУ
71,"""Андезит"" ООД",10845,05.4.2011,"1 184,00",бензин,ІV -РУ
72,"""Промет стийл"" АД",13731,05.5.2011,"1 426,20",бензин,РУ Средец
73,"""Инс-2002"" ООД",13733,05.5.2011,"71,700",бензин,РУ Средец
74,"""Агрокорн"" ООД",13732,05.5.2011,"73,232",бензин,РУ Средец
75,"""Скорпионс транс"" ЕООД",14292,10.5.2011,"21,600",бензин,ІІ РУ



76,Община Царево,14356,10.5.2011,"3 290,26",бензин,РУ Царево
77,"""Автотрейд"" ООД",14774,13.5.2011,"36,000",бензин,ІІ РУ
78,"""Дипам"" ООД",14773,13.5.2011,"21,750",бензин,ІІ РУ
79,"ЗСК ""Лозово"" АД",14775,13.5.2011,"36,250",бензин,ІІ РУ
80,"""Козлодуй"" ООД",15986,27.5.2011,"14,400",бензин,ІІ РУ
81,ОБЩИНА АЙТОС,16375,31.5.2011,"5 000,00","бензин,
консумативи",РУ Айтос
82,"""Технополис България"" ЕАД",16788,03.6.2011,"21,900",бойлер,ІІ РУ
83,"""Агротехники"" ЕООД",17469,09.6.2011,"73,400",инвентар,УБ Росенец
84,Н.С.Б.,18017,16.6.2011,"1 942,75",инвентар,РУ Сунгурларе
85,"""Милена МК"" ООД",18018,16.6.2011,"24,000",Бензин,V-то РУ
86,"Фондация ""Лукойл""",19263,27.6.2011,"4 878,91",бензин,ОД МВР
87,"""Банка ДСК"" АД",19320,27.6.2011,"2 000,00",Парична сума,ОД МВР

1,"""СОД Варна"" АД",317,06.1.2005,"1 191,43",бензин,Пътна полиция
2,"""Адиан"" ООД",4340,16.2.2007,"1 184,85",бензин,Пътна полиция
3,"""Грандхотел Варна"" АД",15291,02.6.2007,"2 211,12",бензин,Пето РУП
4,"""Хидрострой"" АД",37429,27.12.2007,"1 459,37",бензин,ПУ Вълчи дол
5,"""БКС"" Девня",2340,16.1.2008,"59,555",бензин,РУП Девня
6,"""СОД Варна"" АД",2341,16.1.2008,"47,445",бензин,РУП Девня
7,"""Агрополихим"" АД",3710,28.1.2008,"2 045,55",бензин,РУП Девня
8,"""Овърсийз хоризонт"" ООД",5015,06.2.2008,"90,000",бензин,Второ РУП
9,"""Желев"" ООД",6571,18.2.2008,"3 596,18",бензин,Второ РУП
10,"""Пикадили"" АД",7275,25.2.2008,"1 350,00",бензин,Второ РУП
11,Община Суворово,1887,15.1.2009,"2 855,23",бензин,РУП Девня
12,"""Св.св.Константин  и  Елена  Холдинг""
АД",17849,16.5.2009,"2 137,00",бензин,Пето РУП
13,"""Транстриумф Холдинг"" АД",47772,23.11.2009,"1 887,76",бензин,Пътна полиция
14,"""Хидрострой"" АД",47774,23.11.2009,"1 195,15",бензин,Пътна полиция
15,"""Хидрострой"" АД",48356,25.11.2009,"1 433,04",бензин,Трето РУП
16,"""Пътстрой"" ЕООД",53166,29.12.2009,"1 463,96",бензин,Трето РУП



17,В и К Варна ООД,1524,12.1.2010,"96,000",бензин,РУП Девня
18,В и К Варна ООД,1525,12.1.2010,"1 474,97",бензин,ПУ Вълчи дол
19,В и К Варна ООД,1529,12.1.2010,"2 057,74",бензин,Четвърто РУП
20,"""Варна меритайм"" ООД",2907,20.1.2010,"1 751,90",бензин,Четвърто РУП
21,"""Градски транспорт"" ЕАД",2292,20.1.2010,"2 172,26",бензин,Трето РУП
22,"""Челно море"" АД",2992,20.1.2010,"1 426,46",бензин,Трето РУП
23,"""Пазари""  ЕАД,  ""Термал  инженеринг""
ООД, ""Варна плод"" АД","17002, 29796",19/04/2010;16/07/2010,"13 856,28","отоплителна
система",Първо РУП
24,"ЕТ ""Реалност""",31688,30.7.2010,"7,720",услуга-пране,ДВНМН
25,"""Зебра"" ООД",36503,02.9.2010,"1 752,40",бензин,РУП Аксаково
26,"""Солвей Соди"" АД",38348,17.9.2010,"1 615,90",бензин,РУП Девня
27,Община Вълчи дол,40664,06.10.2010,"61,348",бензин,РУП Девня
28,"""Гранд груп"" ЕООД",41143,11.10.2010,"59,982",бензин,Пето РУП
29,"ВСУ ""Черноризец Храбър""",42176,18.10.2010,"1 187,16",бензин,Пето РУП
30,"""Ник-пол-стронгил 2005"" ЕООД",42177,18.10.2010,"24,000","абон.поддръжк
а на асансьор",Първо РУП
31,"""Девня цимент"" АД",52409,29.10.2010,"10 729,55",бензин,РУП Девня
32,"""Балнаски"" ООД",48507,01.12.2010,"43,320",бензин,ПУ Белослав и Аврен
